fiscal_year,month,total_value,n_contracts
2004-2005,9,1382928827.1200001,1564
2005-2006,10,17367572103.179996,1684
2005-2006,2,187886251.49000007,1733
2007-2008,10,1039081063.3599998,1806
2007-2008,2,436741941.95000005,2940
2001-2002,8,1346754.59,3
2002-2003,4,15037866.18,5
2003-2004,1,15546040.559999999,145
2001-2002,7,2670061.62,1
2014-2015,7,740111561.85,3493
2017-2018,3,1691448120.5300002,6756
2018-2019,5,6880367617.740004,5908
2017-2018,12,1689852946.15,4582
2015-2016,10,1710166199.7899995,4031
2013-2014,9,828926253.29,2879
2014-2015,8,546368068.9800001,2677
2017-2018,6,4018317328.2400026,4770
2015-2016,2,3002013493.32,5077
2018-2019,9,1320172822.0999994,4491
2013-2014,5,610230431.7900003,3147
2010-2011,12,668286219.5899999,3655
2012-2013,9,565423654.4799999,2816
2011-2012,3,1236483565.67,5258
2012-2013,5,720130409.3400002,3097
2016-2017,2,924102694.9799997,5867
2016-2017,10,800868328.77,3931
2011-2012,12,1028877684.6800001,4022
2009-2010,3,1413339571.2400002,3841
2010-2011,6,1326796725.71,3053
2011-2012,6,2353086221.5200005,3567
2010-2011,3,1288572515.0099998,6025
2009-2010,6,11372982354.949999,2867
2009-2010,12,971789691.7499996,2469
2020-2021,1,5833824440.110005,6482
2021-2022,1,1760751452.2899995,5719
2022-2023,4,2706555491.339999,6515
2023-2024,6,4956880750.870003,5315
2023-2024,12,8118410240.549989,4774
2023-2024,3,5717570919.380009,5883
2024-2025,11,1129844829.0,4764
2007-2008,11,457506543.18,1866
2008-2009,4,714644250.0899999,1977
2003-2004,4,82237149.97,12
2006-2007,11,189637686.31,1666
2005-2006,11,220957737.52,1800
Unknown,,339934.60000000003,2
1999-2000,1,47639.0,1
2001-2002,3,111408.54,3
